Subject ID,B1,B2,r1,r2,p1,p2
209,42.8,56,190,29,99,16
209,40.8,53.8,190,71,105,43
209,25.3,31.2,154,107,83,60
209,58.7,32.3,105,160,53,88
209,44.7,42.1,55,176,29,107
209,91.8,14,284,20,0,0
209,68.1,33.5,208,64,0,0
209,53.4,45.4,144,100,0,0
209,28,73.2,76,187,0,0
209,27.3,77.9,38,235,0,0
209,15,81.6,14,320,0,0
210,21.1,7.5,206,26,118,14
210,14.1,12.9,114,57,69,28
210,10.7,12.3,99,73,56,46
210,18.3,3.9,217,15,0,0
210,14.5,0.2,201,1,0,0
210,14.9,15,124,84,0,0
243,18.8,18.3,173,65,97,39
243,18.2,17.3,83,130,50,83
243,19.4,10.4,53,96,29,67
243,26.6,14.4,30,170,18,98
243,38.1,11.8,280,15,0,0
243,26.2,15.6,188,57,0,0
243,19.5,22.3,80,148,0,0
243,15.4,31,43,200,0,0
243,10.1,40.5,21,257,0,0
252,26.3,20.2,214,55,113,30
252,14.3,15.5,141,100,77,57
252,11.4,20.9,68,179,36,105
252,15.2,24.9,27,209,15,119
252,33,13.7,269,15,0,0
252,26.6,14.3,199,45,0,0
252,24.8,23.9,167,114,0,0
252,17.2,30,67,206,0,0
252,15.8,33.9,28,251,0,0
252,12,37.2,14,288,0,0
253,106,3.6,329,8,166,6
253,134,4.3,281,17,143,9
253,40.4,66.2,140,88,73,46
253,4.1,110,16,257,10,130
253,1.1,116,9,301,4,142
253,114,6,332,9,0,0
253,115,20.7,275,34,0,0
253,68.8,67.6,157,96,0,0
253,2.9,125,22,290,0,0
253,4.8,98.5,17,303,0,0
254,60,11.8,282,14,146,13
254,69.3,12.7,279,23,139,12
254,82.1,16.9,241,57,129,30
254,36.9,33.5,107,143,53,86
254,9.9,36.5,39,238,21,127
254,13.3,71.9,14,304,12,160
254,82.8,22,304,15,0,0
254,85.7,14.4,284,14,0,0
254,124.5,23.2,250,62,0,0
254,18.8,32.3,92,157,0,0
254,18.4,61.9,56,255,0,0
254,16.8,123,12,308,0,0
265,108,18.9,269,16,145,9
265,108,27.1,236,46,126,23
265,64.2,65.9,72,151,41,81
265,10.3,130,9,328,6,168
265,41,3.8,280,15,0,0
265,143,25,188,57,0,0
265,107,54,80,148,0,0
267,93.5,4.8,341,6,166,2
267,70.5,34.6,233,42,117,26
267,48.8,39.4,98,171,54,95
267,3.5,90,11,304,3,150
267,104,1.4,346,6,0,0
267,103.3,2.6,278,20,0,0
267,2.7,92,19,224,0,0
268,78.1,3.1,112,18,76,12
268,21.9,34.1,97,44,69,27
268,3.5,12.7,23,154,14,86
268,36.3,5.8,223,26,0,0
268,104,34.8,239,48,0,0
268,11.4,60.6,29,226,0,0
268,2.1,110,4,351,0,0
512,54,3.1,283,6,32,4
512,45.4,9.1,246,113,34,17
512,13.3,36.5,71,193,30,32
512,2,54,10,255,8,35
512,5,51.5,11,184,8,32
512,44.7,11,261,19,0,0
512,36.3,16.4,176,43,0,0
512,25.6,30,94,133,0,0
512,20.4,33,45,204,0,0
512,7.3,48.1,24,244,0,0
513,21.8,2.3,246,23,30,21
513,15.4,5.9,204,30,30,24
513,4.2,58,45,128,28,28
513,5.5,20,24,227,23,29
513,18.4,6.3,210,30,0,0
513,6.1,4.6,141,41,0,0
513,7.1,8.6,45,133,0,0
513,6.5,23.5,23,244,0,0
514,42.2,5.93,244,30,24,19
514,45.7,8.6,225,38,34,28
514,31.9,7.8,193,45,30,26
514,43.1,9.4,219,36,32,24
514,33.8,12.2,233,38,0,0
514,39,10.6,218,32,0,0
514,25.2,16.8,158,69,0,0
514,42.1,17.8,201,60,0,0
514,16.6,39.6,30,246,0,0
515,12.6,7.3,141,30,21,15
515,18.8,34.7,83,86,24,24
515,3.8,19.4,13,212,10,28
515,3.3,19.8,6,244,4,32
515,16.4,4.6,188,21,0,0
515,18.7,2.8,208,13,0,0
515,10.7,11.8,114,66,0,0
515,5.4,18.7,15,193,0,0
515,6.9,20.3,6,221,0,0
