originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,289.359447187214,-155.62012161407,-153.146006476524,342.037857974029,-184.162771458251,-155.448060383466,380.871650412749,-211.405143840981,-200.077924477981,320.258414493372,-171.253085957832,-168.606698498164,422.392017652598,-233.754482983999,-199.002479271922,359.857763220455,-208.352721974858,-167.752713187413,558.619303918395,-284.711637220952,-273.564899371289,522.351198008763,-395.136235750719,-183.239529694491
GML,318.252718731647,-168.656234692743,-165.65127911183,189.31780355359,-103.371378895728,-93.593130143727,340.595439634792,-183.621262343419,-179.976189725598,361.473358607594,-193.661886155015,-189.805693833417,319.415974689965,-179.597530341529,-159.092143930057,205.228708753002,-124.362159694326,-105.018080864936,516.135392903775,-256.825556913994,-251.635275355669,582.559119065799,-542.492147229786,-201.355987658762
Competitive Suppression,379.253498680592,-225.81134255578,-203.414566113704,405.470452741582,-246.707609124496,-201.138162832199,303.356075251885,-172.846726353279,-163.767888771359,424.050228687764,-242.268031117771,-228.028227343735,348.318594203838,-217.452663809358,-171.15509309719,425.070239236136,-259.729255365946,-209.292593550579,463.001933505389,-227.053706925846,-222.810642425448,613.194157074128,-449.347918334284,-252.670242443732
Direct Suppression,380.130406330638,-206.423265778849,-202.360302792114,418.483686618904,-304.963791766326,-203.23107853063,460.291255792269,-249.764786180816,-239.383403617813,367.426432797086,-198.370544755847,-194.538617033263,507.656649684412,-285.428364170609,-238.577728854445,409.569502580697,-255.585346367983,-196.540157138779,608.185678095608,-309.014870273139,-295.652728428593,489.742705464906,-257.821392149613,-201.093845253433
Generalized Competitive Suppression,401.102934795376,-219.180512966738,-209.117657722149,374.834219068078,-213.553123262219,-183.76467205383,334.340915712037,-178.106874124446,-174.219852950842,433.878033093983,-239.130150079566,-227.333755815608,321.768612678892,-197.782564944942,-161.16276647806,385.884760901164,-219.33241146491,-189.639958714173,471.947397149073,-235.696900249555,-228.82102980755,567.436211286823,-391.797148041151,-235.682453399367
Generalized Direct Suppression,324.25657802903,-176.705246589818,-169.906784331052,235.731818523812,-161.663502780003,-128.206971696638,369.191102622475,-198.979832240862,-194.531237567198,355.13121509851,-189.3721780626,-184.811906128346,354.147472096064,-197.238415109004,-180.633725963886,189.611236067792,-130.464273120071,-109.459213284426,534.624364443098,-265.78664614467,-261.239166156823,526.038460441432,-414.599413314212,-188.850735807844
ROE Competitive Suppression,565.8241491552,-306.964591185084,-295.614631755733,593.210761507866,-354.363569010406,-292.368396126679,515.493658579947,-279.655361758427,-269.382352301508,588.429441026741,-318.773114772747,-306.247659268241,563.806589644524,-316.305979355332,-274.65595672443,600.085218119581,-367.09656986795,-292.645741210385,572.640734941922,-270.083248638433,-259.578154022348,694.772705129346,-376.018592426962,-313.451624434219
ROE Direct Suppression,549.339666660484,-322.088039894773,-314.90181249388,599.54001514818,-343.661002445286,-311.875322929731,586.322300216363,-339.496607128922,-328.071689087254,539.652901138013,-315.703309030433,-307.459687066576,639.360870686291,-379.925474853461,-326.201692705313,589.985672306398,-341.076880402946,-302.310097225982,689.511588952805,-366.850330145329,-349.244540176757,646.20159674991,-360.494036059375,-312.307609157822
OML,271.152051770304,-145.418800869412,-143.040452453756,314.619526132446,-171.776966037874,-144.755479262517,362.810777983383,-197.313795174564,-195.719002306154,319.628704722436,-177.065532746039,-173.457955894328,404.833296361392,-247.048153555414,-194.489861509033,347.249890277055,-205.035815834087,-165.011931776314,560.363751801074,-284.233004516975,-275.344035481929,509.516301033558,-444.846471835618,-207.880157236355
GML,314.112683541997,-166.849410162076,-164.078445348318,236.127948848893,-160.193796231642,-127.61953468159,340.618106366281,-185.429042953131,-181.763766555234,357.61825882235,-188.822396328487,-186.743514116016,335.478581365225,-200.377801692126,-170.119851706351,242.077654630375,-161.372862469739,-128.983285441529,515.09881903026,-255.377548954505,-251.265443287995,554.515114318174,-423.167048650502,-200.357664264085
Competitive Suppression,376.660599405636,-201.66300535209,-199.752229446508,420.981175509482,-257.708118236902,-202.39648255954,327.167607500746,-184.678140239295,-180.383938732392,412.404501518462,-225.754674890546,-221.72566028075,384.619826855574,-235.538965115657,-186.120059495583,438.095938873423,-278.021352330006,-209.116292189257,489.522499233031,-254.154400822482,-240.902591283667,609.745246865315,-419.880037992196,-241.721771739539
Direct Suppression,341.384018763177,-185.104895144617,-180.505916713325,388.445550208379,-277.019356879297,-189.499921851986,431.574817617193,-238.208527695739,-227.605869765958,328.452270006114,-178.345757773934,-173.853715916307,479.182226822944,-276.226381718493,-231.989629146089,370.957257458093,-288.69062158083,-181.334524591232,588.919013924659,-297.763309717446,-290.251992262628,443.290634462503,-421.692969265774,-178.881307261169
Generalized Competitive Suppression,420.363535100405,-222.729188168864,-217.61968713782,375.263500755302,-214.928853421884,-187.104515615664,372.69619664476,-204.887349993187,-194.820655123439,448.720802146613,-236.395768952375,-233.248685041352,350.236966123797,-200.91029543899,-172.665365256556,381.083056286674,-221.403584247086,-191.102842698576,488.368418325336,-236.075561902123,-234.505945419428,598.117230826647,-398.112143325768,-242.9496764185
Generalized Direct Suppression,312.320711390131,-167.735627210923,-164.520728717002,227.947100250112,-139.047550776806,-114.869956900937,350.764532201965,-191.977596476465,-185.37771421278,347.019131080702,-181.988864359893,-181.111999015767,348.616865789927,-193.889477840836,-169.1416661872,204.554013559606,-121.826367825167,-105.728640275454,522.695564498155,-258.981165257476,-254.750755193376,537.00590731528,-400.484798825444,-192.127527874032
